id,comment_text,user_id,photo_id,created_at
1,"Wow, stunning!",56,154,2016-07-14 16:44:44
2,"Absolutely stunning!",53,117,2016-10-07 22:48:36
3,"Absolutely stunning!",46,107,2017-08-06 15:12:32
4,"Fire!",59,232,2017-07-03 16:52:34
5,"This made my day!",47,173,2018-04-13 14:31:22
6,"Perfect lighting!",18,106,2017-01-09 06:57:10
7,"Masterpiece!",73,100,2017-06-08 16:52:15
8,"Brilliant!",71,210,2018-03-22 11:10:25
9,"Iconic!",51,73,2016-09-20 19:45:49
10,"I love it!",84,232,2018-03-01 15:00:17
11,"Incredible!",7,103,2017-05-12 20:05:11
12,"Loving the vibe!",21,197,2017-08-17 06:33:54
13,"Incredible!",57,13,2017-07-01 20:39:29
14,"Goals!",86,89,2018-04-28 20:30:41
15,"Absolutely stunning!",99,80,2018-01-10 07:12:07
16,"This made my day!",20,211,2017-09-23 08:56:44
17,"Iconic!",95,67,2017-04-20 22:13:20
18,"Great photo!",98,19,2016-08-06 03:07:19
19,"Love this!",3,5,2017-05-06 03:16:29
20,"Wow, stunning!",46,104,2017-01-05 11:11:52
21,"Masterpiece!",9,186,2017-04-20 21:14:33
22,"This made my day!",58,244,2016-11-27 10:32:56
23,"Mood!",39,52,2016-11-11 05:32:05
24,"Great photo!",21,213,2017-11-28 22:30:40
25,"Mood!",53,82,2017-12-18 22:53:22
26,"Perfect lighting!",61,144,2016-09-25 05:20:21
27,"Love this!",57,50,2016-10-17 13:52:11
28,"Iconic!",61,195,2016-11-22 00:43:35
29,"Fire!",76,186,2018-01-20 20:49:21
30,"Amazing shot!",24,230,2017-10-17 20:38:09
31,"So beautiful!",45,174,2017-06-14 02:30:29
32,"Masterpiece!",23,70,2017-04-04 14:19:52
33,"Incredible!",20,57,2018-03-12 11:40:34
34,"Brilliant!",38,43,2018-02-08 18:00:47
35,"This is so cool!",3,214,2017-06-09 09:12:03
36,"Loving the vibe!",25,144,2016-06-25 17:49:34
37,"Perfect lighting!",22,27,2017-04-10 09:34:46
38,"This made my day!",58,222,2016-07-12 09:56:01
39,"So beautiful!",96,235,2017-05-07 20:04:16
40,"Masterpiece!",5,67,2016-06-11 20:53:09
41,"Absolutely stunning!",3,155,2016-12-22 17:06:59
42,"Love this!",49,199,2018-04-20 09:50:26
43,"This made my day!",90,193,2017-06-11 18:39:45
44,"Wow, stunning!",53,176,2017-05-21 09:31:26
45,"Iconic!",71,99,2017-03-16 09:42:33
46,"This made my day!",58,44,2017-11-04 04:07:59
47,"Great photo!",3,66,2017-02-04 02:42:33
48,"So beautiful!",23,192,2016-11-05 20:49:21
49,"So beautiful!",31,45,2016-06-10 00:29:22
50,"Masterpiece!",95,175,2016-08-12 05:41:19
51,"This made my day!",75,236,2018-04-12 03:51:11
52,"Love this!",79,63,2016-10-21 07:15:51
53,"This is so cool!",96,42,2016-09-02 03:20:04
54,"Perfect lighting!",1,222,2017-01-02 01:49:13
55,"Absolutely stunning!",92,41,2017-04-25 22:46:19
56,"Iconic!",68,99,2016-12-20 18:02:00
57,"Iconic!",78,96,2017-03-22 21:32:49
58,"This is so cool!",8,227,2017-11-02 00:13:47
59,"Goals!",23,102,2016-10-26 19:44:00
60,"Great photo!",74,97,2016-08-17 06:51:07
61,"Perfect lighting!",24,165,2016-11-14 14:22:09
62,"Masterpiece!",82,152,2017-07-28 18:26:48
63,"Incredible!",82,147,2017-08-11 09:08:12
64,"Loving the vibe!",45,124,2016-06-08 23:50:31
65,"I love it!",88,129,2016-11-13 02:21:14
66,"Iconic!",8,33,2017-05-19 02:11:57
67,"So beautiful!",80,221,2018-04-22 16:14:09
68,"This made my day!",2,46,2018-01-24 13:09:39
69,"Obsessed with this!",90,34,2017-02-24 11:37:00
70,"Iconic!",58,184,2017-06-15 18:11:36
71,"This made my day!",39,251,2017-12-12 06:55:41
72,"Love this!",30,88,2017-05-28 14:55:04
73,"This made my day!",60,237,2017-07-18 16:52:48
74,"Wow, stunning!",60,232,2016-10-24 14:02:16
